years,avg_prcp_values
2000,2.3170405433937082
2001,2.200919144041894
2002,2.0767424192601753
2003,2.1971581496716843
2004,2.3091883018444235
2005,2.1743652003106613
2006,2.1999574235483825
2007,2.331686471067137
2008,2.5277275752983086
2009,2.591172835813065
2010,2.697422287256939
2011,2.6887757545703397
2012,2.4229799660745446
2013,2.6382376883144407
2014,2.6309646060625416
2015,2.862997052900624
2016,2.730750052585512
2017,2.8085052774562693
2018,2.8833397252412203
2019,2.7975705683053382
2020,2.7462175129123274
2021,2.770348087531738
2022,2.6167201122939914
2023,2.670966212987032
