years,avg_tmax_values
2000,18.151497180719385
2001,18.321752970963974
2002,18.25259031069499
2003,18.208399530490375
2004,17.935022053753027
2005,18.322039692913943
2006,18.552830278968823
2007,18.37085543016859
2008,17.93148170142372
2009,17.922250035097804
2010,17.7611266760159
2011,17.973938219285433
2012,18.018479636596854
2013,16.244360727652758
2014,16.376224172103196
2015,17.02707180718557
2016,17.07998563109888
2017,16.869151925432817
2018,16.473834612945602
2019,16.207276187877238
2020,16.969826699666857
2021,16.59527276195471
2022,16.95632701909821
2023,12.367731423760555
